Pin Avail,Pout Fund,Transducer Gain,Phase,VDD,IDD,Total Diss,DC only Diss,PAE percent,Harm2 dBc,Harm3 dBc,Harm4 dBc,Harm5 dBc,S11 dB,Zin
-10,8.535,18.535,116.158,28,0.832,23.282,23.275,0.03,-237.1,-111.8,-337.7,-202.3,-13.41,47.17  - j21.03  
-7.5,11.035,18.535,116.156,28,0.832,23.291,23.279,0.054,-234.6,-106.8,-330.2,-192.3,-13.41,47.17  - j21.03  
-5,13.535,18.535,116.153,28,0.832,23.306,23.284,0.096,-232.1,-101.8,-322.7,-182.3,-13.41,47.17  - j21.03  
-2.5,16.034,18.534,116.147,28,0.833,23.334,23.294,0.17,-229.6,-96.84,-315.2,-172.3,-13.41,47.16  - j21.03  
0,18.533,18.533,116.136,28,0.835,23.382,23.312,0.301,-227.1,-91.85,-307.7,-162.4,-13.41,47.16  - j21.03  
2.5,21.031,18.531,116.118,28,0.838,23.469,23.344,0.533,-224.6,-86.88,-300.3,-152.4,-13.41,47.15  - j21.03  
5,23.529,18.529,116.084,28,0.844,23.622,23.399,0.941,-222.1,-81.93,-292.9,-142.5,-13.41,47.14  - j21.03  
7.5,26.024,18.524,116.026,28,0.853,23.892,23.497,1.653,-219.7,-77.02,-285.5,-132.7,-13.41,47.13  - j21.03  
10,28.515,18.515,115.923,28,0.87,24.368,23.667,2.876,-217.2,-72.18,-278.3,-123,-13.41,47.10  - j21.03  
12.5,31.001,18.501,115.746,28,0.9,25.201,23.959,4.929,-214.8,-67.45,-271.3,-113.6,-13.4,47.05  - j21.02  
15,33.477,18.477,115.444,28,0.951,26.638,24.441,8.247,-212.5,-62.91,-264.8,-104.8,-13.39,46.97  - j21.01  
16,34.465,18.465,115.271,28,0.981,27.463,24.705,10.042,-211.5,-61.18,-262.4,-101.5,-13.39,46.92  - j21.00  
16.5,34.958,18.458,115.171,28,0.998,27.944,24.855,11.055,-211.1,-60.33,-261.3,-99.92,-13.39,46.90  - j21.00  
17,35.451,18.451,115.06,28,1.017,28.477,25.017,12.151,-210.6,-59.5,-260.2,-98.42,-13.39,46.87  - j20.99  
